## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/22-00150_S6.bam --OUTPUT results/06_markDuplicates/bam/22-00150_S6.bam --METRICS_FILE results/06_markDuplicates/metrics/22-00150_S6.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 09 18:54:37 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	6	99070979	10273626	0	5	65510459	0	0.661248	35812816

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12445519	12445519
2.0	1.062891	5762314	5762314
3.0	1.066846	4693228	4693228
4.0	1.067095	3673815	3673815
5.0	1.06711	2650332	2650332
6.0	1.067111	1756998	1756998
7.0	1.067111	1085079	1085079
8.0	1.067111	631874	631874
9.0	1.067111	353421	353421
10.0	1.067111	192754	192754
11.0	1.067111	106415	106415
12.0	1.067111	60548	60548
13.0	1.067111	36377	36377
14.0	1.067111	23393	23393
15.0	1.067111	16496	16496
16.0	1.067111	11763	11763
17.0	1.067111	9033	9033
18.0	1.067111	7054	7054
19.0	1.067111	5764	5764
20.0	1.067111	4629	4629
21.0	1.067111	3861	3861
22.0	1.067111	3207	3207
23.0	1.067111	2795	2795
24.0	1.067111	2338	2338
25.0	1.067111	1964	1964
26.0	1.067111	1782	1782
27.0	1.067111	1495	1495
28.0	1.067111	1358	1358
29.0	1.067111	1187	1187
30.0	1.067111	1099	1099
31.0	1.067111	874	874
32.0	1.067111	859	859
33.0	1.067111	741	741
34.0	1.067111	662	662
35.0	1.067111	593	593
36.0	1.067111	527	527
37.0	1.067111	484	484
38.0	1.067111	464	464
39.0	1.067111	438	438
40.0	1.067111	426	426
41.0	1.067111	351	351
42.0	1.067111	339	339
43.0	1.067111	357	357
44.0	1.067111	309	309
45.0	1.067111	274	274
46.0	1.067111	272	272
47.0	1.067111	247	247
48.0	1.067111	214	214
49.0	1.067111	210	210
50.0	1.067111	188	188
51.0	1.067111	180	180
52.0	1.067111	180	180
53.0	1.067111	157	157
54.0	1.067111	140	140
55.0	1.067111	143	143
56.0	1.067111	106	106
57.0	1.067111	116	116
58.0	1.067111	103	103
59.0	1.067111	99	99
60.0	1.067111	90	90
61.0	1.067111	93	93
62.0	1.067111	108	108
63.0	1.067111	81	81
64.0	1.067111	87	87
65.0	1.067111	90	90
66.0	1.067111	70	70
67.0	1.067111	60	60
68.0	1.067111	78	78
69.0	1.067111	59	59
70.0	1.067111	53	53
71.0	1.067111	59	59
72.0	1.067111	67	67
