## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/22-00154_S10.bam --OUTPUT results/06_markDuplicates/bam/22-00154_S10.bam --METRICS_FILE results/06_markDuplicates/metrics/22-00154_S10.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 24 18:33:42 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5	102570337	10586530	0	4	64531635	0	0.629145	41561507

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	14992057	14992057
2.0	1.084761	7204366	7204366
3.0	1.091946	5582980	5582980
4.0	1.092555	4030558	4030558
5.0	1.092606	2644170	2644170
6.0	1.092611	1591129	1591129
7.0	1.092611	895586	895586
8.0	1.092611	477337	477337
9.0	1.092611	248230	248230
10.0	1.092611	130691	130691
11.0	1.092611	71786	71786
12.0	1.092611	42221	42221
13.0	1.092611	26811	26811
14.0	1.092611	18554	18554
15.0	1.092611	13406	13406
16.0	1.092611	10447	10447
17.0	1.092611	8104	8104
18.0	1.092611	6530	6530
19.0	1.092611	5265	5265
20.0	1.092611	4455	4455
21.0	1.092611	3681	3681
22.0	1.092611	3109	3109
23.0	1.092611	2686	2686
24.0	1.092611	2313	2313
25.0	1.092611	2013	2013
26.0	1.092611	1854	1854
27.0	1.092611	1493	1493
28.0	1.092611	1301	1301
29.0	1.092611	1237	1237
30.0	1.092611	1069	1069
31.0	1.092611	976	976
32.0	1.092611	900	900
33.0	1.092611	783	783
34.0	1.092611	682	682
35.0	1.092611	595	595
36.0	1.092611	572	572
37.0	1.092611	530	530
38.0	1.092611	485	485
39.0	1.092611	462	462
40.0	1.092611	413	413
41.0	1.092611	366	366
42.0	1.092611	357	357
43.0	1.092611	336	336
44.0	1.092611	329	329
45.0	1.092611	284	284
46.0	1.092611	253	253
47.0	1.092611	258	258
48.0	1.092611	206	206
49.0	1.092611	206	206
50.0	1.092611	188	188
51.0	1.092611	181	181
52.0	1.092611	169	169
53.0	1.092611	163	163
54.0	1.092611	135	135
55.0	1.092611	138	138
56.0	1.092611	150	150
57.0	1.092611	129	129
58.0	1.092611	126	126
59.0	1.092611	128	128
60.0	1.092611	106	106
61.0	1.092611	102	102
62.0	1.092611	102	102
63.0	1.092611	90	90
64.0	1.092611	83	83
65.0	1.092611	87	87
66.0	1.092611	91	91
67.0	1.092611	89	89
68.0	1.092611	57	57
69.0	1.092611	61	61
70.0	1.092611	70	70
71.0	1.092611	65	65
72.0	1.092611	66	66
73.0	1.092611	52	52
74.0	1.092611	64	64
75.0	1.092611	61	61
76.0	1.092611	49	49
77.0	1.092611	49	49
78.0	1.092611	53	53
79.0	1.092611	37	37
80.0	1.092611	42	42
81.0	1.092611	44	44
82.0	1.092611	34	34
83.0	1.092611	37	37
