## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/22-01855_S17.bam --OUTPUT results/06_markDuplicates/bam/22-01855_S17.bam --METRICS_FILE results/06_markDuplicates/metrics/22-01855_S17.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 28 14:42:40 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	94741774	9809366	0	0	69608502	0	0.734718	25787683

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	8818501	8818501
2.0	1.025377	3611656	3611656
3.0	1.026021	2662549	2662549
4.0	1.026037	2158065	2158065
5.0	1.026038	1793185	1793185
6.0	1.026038	1480680	1480680
7.0	1.026038	1194574	1194574
8.0	1.026038	937254	937254
9.0	1.026038	715880	715880
10.0	1.026038	529769	529769
11.0	1.026038	382306	382306
12.0	1.026038	268228	268228
13.0	1.026038	183729	183729
14.0	1.026038	124247	124247
15.0	1.026038	83284	83284
16.0	1.026038	55454	55454
17.0	1.026038	36669	36669
18.0	1.026038	24249	24249
19.0	1.026038	16406	16406
20.0	1.026038	11378	11378
21.0	1.026038	8043	8043
22.0	1.026038	6080	6080
23.0	1.026038	4392	4392
24.0	1.026038	3561	3561
25.0	1.026038	2869	2869
26.0	1.026038	2310	2310
27.0	1.026038	2010	2010
28.0	1.026038	1702	1702
29.0	1.026038	1326	1326
30.0	1.026038	1271	1271
31.0	1.026038	1058	1058
32.0	1.026038	978	978
33.0	1.026038	784	784
34.0	1.026038	777	777
35.0	1.026038	616	616
36.0	1.026038	576	576
37.0	1.026038	467	467
38.0	1.026038	460	460
39.0	1.026038	428	428
40.0	1.026038	354	354
41.0	1.026038	351	351
42.0	1.026038	295	295
43.0	1.026038	281	281
44.0	1.026038	242	242
45.0	1.026038	229	229
46.0	1.026038	231	231
47.0	1.026038	196	196
48.0	1.026038	174	174
49.0	1.026038	151	151
50.0	1.026038	166	166
51.0	1.026038	167	167
52.0	1.026038	132	132
53.0	1.026038	139	139
54.0	1.026038	140	140
55.0	1.026038	113	113
56.0	1.026038	109	109
57.0	1.026038	98	98
58.0	1.026038	95	95
59.0	1.026038	82	82
60.0	1.026038	81	81
61.0	1.026038	83	83
62.0	1.026038	67	67
63.0	1.026038	69	69
64.0	1.026038	71	71
65.0	1.026038	55	55
66.0	1.026038	56	56
67.0	1.026038	50	50
68.0	1.026038	47	47
69.0	1.026038	49	49
70.0	1.026038	39	39
71.0	1.026038	41	41
72.0	1.026038	41	41
73.0	1.026038	42	42
74.0	1.026038	34	34
75.0	1.026038	38	38
76.0	1.026038	38	38
77.0	1.026038	29	29
78.0	1.026038	41	41
79.0	1.026038	24	24
80.0	1.026038	32	32
81.0	1.026038	29	29
82.0	1.026038	19	19
83.0	1.026038	32	32
84.0	1.026038	35	35
85.0	1.026038	17	17
86.0	1.026038	23	23
87.0	1.026038	17	17
88.0	1.026038	21	21
89.0	1.026038	14	14
90.0	1.026038	16	16
91.0	1.026038	17	17
92.0	1.026038	11	11
93.0	1.026038	15	15
94.0	1.026038	12	12
95.0	1.026038	19	19
96.0	1.026038	12	12
97.0	1.026038	15	15
98.0	1.026038	17	17
99.0	1.026038	10	10
100.0	1.026038	13	13
101.0	0	8	8
102.0	0	9	9
103.0	0	12	12
104.0	0	7	7
105.0	0	5	5
106.0	0	13	13
107.0	0	13	13
108.0	0	10	10
109.0	0	5	5
110.0	0	5	5
111.0	0	14	14
112.0	0	10	10
113.0	0	5	5
114.0	0	4	4
115.0	0	8	8
116.0	0	1	1
117.0	0	9	9
118.0	0	5	5
119.0	0	6	6
120.0	0	5	5
121.0	0	3	3
122.0	0	4	4
123.0	0	6	6
124.0	0	11	11
125.0	0	7	7
126.0	0	6	6
127.0	0	4	4
128.0	0	1	1
129.0	0	2	2
130.0	0	5	5
131.0	0	7	7
132.0	0	2	2
133.0	0	2	2
134.0	0	3	3
135.0	0	5	5
136.0	0	1	1
137.0	0	1	1
138.0	0	3	3
139.0	0	3	3
140.0	0	7	7
141.0	0	3	3
143.0	0	1	1
144.0	0	3	3
145.0	0	2	2
146.0	0	3	3
147.0	0	1	1
149.0	0	2	2
150.0	0	2	2
151.0	0	2	2
152.0	0	5	5
153.0	0	2	2
154.0	0	3	3
155.0	0	2	2
156.0	0	3	3
157.0	0	2	2
158.0	0	2	2
159.0	0	1	1
160.0	0	3	3
161.0	0	1	1
162.0	0	2	2
164.0	0	1	1
166.0	0	2	2
168.0	0	1	1
171.0	0	1	1
172.0	0	3	3
173.0	0	2	2
175.0	0	3	3
178.0	0	1	1
179.0	0	3	3
180.0	0	2	2
181.0	0	1	1
183.0	0	1	1
184.0	0	2	2
189.0	0	3	3
191.0	0	1	1
192.0	0	1	1
193.0	0	1	1
195.0	0	2	2
196.0	0	1	1
197.0	0	1	1
198.0	0	3	3
202.0	0	2	2
203.0	0	1	1
204.0	0	1	1
205.0	0	1	1
206.0	0	2	2
207.0	0	1	1
208.0	0	1	1
209.0	0	2	2
213.0	0	3	3
218.0	0	1	1
219.0	0	1	1
220.0	0	1	1
221.0	0	1	1
222.0	0	2	2
225.0	0	2	2
227.0	0	1	1
228.0	0	1	1
232.0	0	1	1
234.0	0	1	1
235.0	0	1	1
237.0	0	2	2
240.0	0	2	2
243.0	0	1	1
250.0	0	1	1
260.0	0	1	1
275.0	0	1	1
277.0	0	1	1
291.0	0	1	1
292.0	0	1	1
299.0	0	1	1
301.0	0	1	1
306.0	0	2	2
320.0	0	1	1
338.0	0	1	1
358.0	0	1	1
564.0	0	1	1
921.0	0	1	1

