## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/22-01883_S43.bam --OUTPUT results/06_markDuplicates/bam/22-01883_S43.bam --METRICS_FILE results/06_markDuplicates/metrics/22-01883_S43.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 03 18:35:34 ACDT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	85816850	10891042	0	0	71962589	0	0.83856	13882963

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	4363595	4363595
2.0	1.002067	1377316	1377316
3.0	1.002072	987325	987325
4.0	1.002072	802660	802660
5.0	1.002072	690460	690460
6.0	1.002072	615833	615833
7.0	1.002072	561758	561758
8.0	1.002072	521114	521114
9.0	1.002072	482797	482797
10.0	1.002072	447018	447018
11.0	1.002072	410468	410468
12.0	1.002072	374610	374610
13.0	1.002072	337711	337711
14.0	1.002072	301339	301339
15.0	1.002072	264796	264796
16.0	1.002072	230718	230718
17.0	1.002072	197737	197737
18.0	1.002072	167396	167396
19.0	1.002072	139129	139129
20.0	1.002072	115513	115513
21.0	1.002072	94341	94341
22.0	1.002072	76490	76490
23.0	1.002072	61254	61254
24.0	1.002072	48204	48204
25.0	1.002072	38297	38297
26.0	1.002072	29803	29803
27.0	1.002072	23540	23540
28.0	1.002072	18235	18235
29.0	1.002072	14099	14099
30.0	1.002072	11035	11035
31.0	1.002072	8618	8618
32.0	1.002072	6603	6603
33.0	1.002072	5095	5095
34.0	1.002072	4106	4106
35.0	1.002072	3263	3263
36.0	1.002072	2678	2678
37.0	1.002072	2186	2186
38.0	1.002072	1855	1855
39.0	1.002072	1449	1449
40.0	1.002072	1242	1242
41.0	1.002072	1092	1092
42.0	1.002072	949	949
43.0	1.002072	844	844
44.0	1.002072	713	713
45.0	1.002072	673	673
46.0	1.002072	607	607
47.0	1.002072	517	517
48.0	1.002072	484	484
49.0	1.002072	436	436
50.0	1.002072	399	399
51.0	1.002072	341	341
52.0	1.002072	276	276
53.0	1.002072	294	294
54.0	1.002072	285	285
55.0	1.002072	244	244
56.0	1.002072	230	230
57.0	1.002072	221	221
58.0	1.002072	197	197
59.0	1.002072	181	181
60.0	1.002072	181	181
61.0	1.002072	174	174
62.0	1.002072	152	152
63.0	1.002072	154	154
64.0	1.002072	127	127
65.0	1.002072	118	118
66.0	1.002072	108	108
67.0	1.002072	100	100
68.0	1.002072	100	100
69.0	1.002072	94	94
70.0	1.002072	98	98
71.0	1.002072	83	83
72.0	1.002072	89	89
73.0	1.002072	64	64
74.0	1.002072	75	75
75.0	1.002072	58	58
76.0	1.002072	63	63
77.0	1.002072	68	68
78.0	1.002072	76	76
79.0	1.002072	63	63
80.0	1.002072	44	44
81.0	1.002072	45	45
82.0	1.002072	51	51
83.0	1.002072	44	44
84.0	1.002072	54	54
85.0	1.002072	43	43
86.0	1.002072	40	40
87.0	1.002072	41	41
88.0	1.002072	39	39
89.0	1.002072	36	36
90.0	1.002072	44	44
91.0	1.002072	40	40
92.0	1.002072	28	28
93.0	1.002072	29	29
94.0	1.002072	24	24
95.0	1.002072	27	27
96.0	1.002072	18	18
97.0	1.002072	12	12
98.0	1.002072	32	32
99.0	1.002072	22	22
100.0	1.002072	22	22
101.0	0	20	20
102.0	0	23	23
103.0	0	22	22
104.0	0	13	13
105.0	0	14	14
106.0	0	25	25
107.0	0	23	23
108.0	0	22	22
109.0	0	22	22
110.0	0	18	18
111.0	0	13	13
112.0	0	19	19
113.0	0	16	16
114.0	0	18	18
115.0	0	15	15
116.0	0	16	16
117.0	0	7	7
118.0	0	7	7
119.0	0	11	11
120.0	0	14	14
121.0	0	10	10
122.0	0	14	14
123.0	0	11	11
124.0	0	8	8
125.0	0	14	14
126.0	0	8	8
127.0	0	5	5
128.0	0	8	8
129.0	0	10	10
130.0	0	12	12
131.0	0	5	5
132.0	0	7	7
133.0	0	8	8
134.0	0	7	7
135.0	0	9	9
136.0	0	8	8
137.0	0	5	5
138.0	0	7	7
139.0	0	9	9
140.0	0	9	9
141.0	0	6	6
142.0	0	7	7
143.0	0	4	4
144.0	0	5	5
145.0	0	6	6
146.0	0	3	3
147.0	0	4	4
148.0	0	4	4
149.0	0	6	6
150.0	0	4	4
151.0	0	7	7
152.0	0	5	5
153.0	0	5	5
154.0	0	7	7
155.0	0	4	4
156.0	0	3	3
157.0	0	10	10
158.0	0	3	3
159.0	0	6	6
160.0	0	3	3
161.0	0	4	4
162.0	0	5	5
164.0	0	1	1
165.0	0	3	3
166.0	0	6	6
167.0	0	2	2
168.0	0	4	4
169.0	0	4	4
170.0	0	2	2
171.0	0	3	3
173.0	0	1	1
174.0	0	6	6
175.0	0	7	7
176.0	0	2	2
177.0	0	7	7
178.0	0	3	3
179.0	0	1	1
181.0	0	3	3
182.0	0	3	3
183.0	0	2	2
184.0	0	4	4
185.0	0	2	2
186.0	0	2	2
188.0	0	5	5
189.0	0	1	1
190.0	0	2	2
191.0	0	6	6
192.0	0	3	3
193.0	0	1	1
194.0	0	2	2
195.0	0	1	1
196.0	0	4	4
197.0	0	1	1
198.0	0	1	1
203.0	0	2	2
204.0	0	1	1
205.0	0	2	2
206.0	0	1	1
207.0	0	1	1
208.0	0	1	1
209.0	0	1	1
210.0	0	1	1
211.0	0	1	1
212.0	0	2	2
213.0	0	1	1
214.0	0	1	1
216.0	0	1	1
217.0	0	1	1
219.0	0	2	2
220.0	0	1	1
221.0	0	1	1
222.0	0	2	2
223.0	0	1	1
226.0	0	1	1
228.0	0	3	3
229.0	0	2	2
233.0	0	2	2
234.0	0	3	3
238.0	0	1	1
240.0	0	1	1
242.0	0	1	1
243.0	0	2	2
244.0	0	1	1
247.0	0	2	2
250.0	0	1	1
251.0	0	1	1
259.0	0	2	2
260.0	0	2	2
261.0	0	1	1
263.0	0	2	2
265.0	0	1	1
267.0	0	1	1
272.0	0	1	1
277.0	0	2	2
284.0	0	1	1
302.0	0	2	2
303.0	0	1	1
309.0	0	1	1
315.0	0	1	1
319.0	0	1	1
333.0	0	1	1
334.0	0	1	1
343.0	0	1	1
347.0	0	1	1
366.0	0	1	1
367.0	0	1	1
368.0	0	1	1
374.0	0	1	1
376.0	0	1	1
379.0	0	1	1
384.0	0	1	1
386.0	0	1	1
388.0	0	1	1
389.0	0	1	1
390.0	0	1	1
393.0	0	1	1
406.0	0	1	1
413.0	0	1	1
420.0	0	1	1
432.0	0	1	1
482.0	0	1	1
488.0	0	1	1
500.0	0	1	1
537.0	0	1	1
549.0	0	1	1
572.0	0	1	1
586.0	0	1	1
620.0	0	1	1
784.0	0	1	1
789.0	0	1	1

