category,over_represented_pvalue,numDEInCat,numInCat,FDR
GO_SERINE_HYDROLASE_ACTIVITY,4.3728713649382186e-6,4,96,0.0019328091433026926
GO_ELASTIN_METABOLIC_PROCESS,7.2966137650231185e-05,2,10,0.01612551642070109
GO_ENDOPEPTIDASE_ACTIVITY,2.2558168303084546e-4,4,267,0.025818692800051883
GO_GLYCOPROTEIN_CATABOLIC_PROCESS,2.3365332850725686e-4,2,20,0.025818692800051883
GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,8.517504754693808e-4,3,161,0.06954781171323422
GO_EXOCRINE_SYSTEM_DEVELOPMENT,9.481475813238293e-4,2,39,0.06954781171323422
GO_PEPTIDASE_ACTIVITY,0.001101435932110044,4,405,0.06954781171323422
GO_PANCREAS_DEVELOPMENT,0.002509446391271628,2,63,0.13864691311775745
GO_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.0028442459003170987,3,246,0.1396840764377953
GO_VASCULATURE_DEVELOPMENT,0.004665694923352693,4,615,0.18189327294304505
GO_GLYCOPROTEIN_METABOLIC_PROCESS,0.006413810177329684,3,329,0.18189327294304505
GO_POSITIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION,0.007011137936952837,1,6,0.18189327294304505
GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT,0.0074377473719952954,5,1123,0.18189327294304505
GO_DIGESTIVE_SYSTEM_DEVELOPMENT,0.007613273026176034,2,113,0.18189327294304505
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE,0.00785875698005476,1,7,0.18189327294304505
GO_REGULATION_OF_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,0.008401029461505206,1,7,0.18189327294304505
GO_NEGATIVE_REGULATION_OF_MYELINATION,0.009539436884311761,1,8,0.18189327294304505
GO_POSITIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE,0.009664580200836131,1,8,0.18189327294304505
GO_DOPAMINERGIC_SYNAPSE,0.010411222635710244,1,9,0.18189327294304505
GO_DIPEPTIDYL_PEPTIDASE_ACTIVITY,0.010421573545194502,1,9,0.18189327294304505
GO_MICROTUBULE_ANCHORING_AT_CENTROSOME,0.010827537707902268,1,10,0.18189327294304505
GO_RESPONSE_TO_FORSKOLIN,0.011143926066537165,1,10,0.18189327294304505
GO_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.011451542806741464,2,137,0.18189327294304505
GO_MACROMOLECULE_CATABOLIC_PROCESS,0.012256329456412194,5,1228,0.18189327294304505
GO_TFIID_CLASS_TRANSCRIPTION_FACTOR_COMPLEX_BINDING,0.01251811196505385,1,10,0.18189327294304505
GO_INTRACELLULAR_MRNA_LOCALIZATION,0.012633438555587469,1,10,0.18189327294304505
GO_REGULATION_OF_VESICLE_SIZE,0.012642525497937136,1,11,0.18189327294304505
GO_MICROTUBULE_ANCHORING_AT_MICROTUBULE_ORGANIZING_CENTER,0.013006550896022522,1,12,0.18189327294304505
GO_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,0.013107232972083303,1,11,0.18189327294304505
GO_CHLORIDE_ION_BINDING,0.013589675621584396,1,11,0.18189327294304505
GO_VACUOLAR_LUMEN,0.013987290642275286,2,149,0.18189327294304505
GO_DERMATAN_SULFATE_METABOLIC_PROCESS,0.014103760160553397,1,13,0.18189327294304505
GO_CHONDROITIN_SULFATE_CATABOLIC_PROCESS,0.014594912078852246,1,13,0.18189327294304505
GO_MEGAKARYOCYTE_DEVELOPMENT,0.015515271440184924,1,14,0.18189327294304505
GO_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,0.015661964359038244,1,12,0.18189327294304505
GO_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION,0.01597778894416768,1,14,0.18189327294304505
GO_CATECHOLAMINE_UPTAKE,0.016685123491197714,1,14,0.18189327294304505
